TSS	size	covered	sum	mean	phastcons	Gene	Exon	Inclusion	Exclusion	dPI	pval	dPSI	logOddsRatio	nrow	FDR
chr1_100133136_100133176_+	41	41	0.773	0.0188537	0.0188537	ENSG00000122435.10	chr1_100137019_100137085_+	392	9	0.0647010647010646	0.854353994038382	-0.0647010647010647	0.744345124531804	2	1
chr1_100133136_100133176_+	41	41	0.773	0.0188537	0.0188537	ENSG00000122435.10	chr1_100137024_100137085_+	8	393	-0.0831460674157303	0.756826908747838	-0.0831460674157303	-0.917945784117514	2	1
chr1_100133136_100133176_+	41	41	0.773	0.0188537	0.0188537	ENSG00000122435.10	chr1_100140182_100140251_+	296	105	-0.0114922295428255	0.867507071828259	0.0114922295428255	-0.161904438514164	2	1
chr1_100133136_100133176_+	41	41	0.773	0.0188537	0.0188537	ENSG00000122435.10	chr1_100140408_100140514_+	237	163	-0.048796343321483	0.155246973324187	-0.048796343321483	-0.707912418776404	2	1
chr1_100133136_100133176_+	41	41	0.773	0.0188537	0.0188537	ENSG00000122435.10	chr1_100140408_100141019_+	48	290	0.0232172470978441	0.801149535648007	-0.0232172470978441	0.31194400631474	2	1
chr1_100133136_100133176_+	41	41	0.773	0.0188537	0.0188537	ENSG00000122435.10	chr1_100140450_100140514_+	45	355	0.00145964092833162	0.999999999999994	-0.00145964092833163	0.0201778819376303	2	1
chr1_100133187_100133207_+	21	21	1.773	0.0844286	0.0844286	ENSG00000122435.10	chr1_100140852_100141019_+	17	34	0.00879488740109555	0.93757971783368	-0.00879488740109557	-0.110282055014911	2	1
chr1_100133136_100133176_+	41	41	0.773	0.0188537	0.0188537	ENSG00000122435.10	chr1_100140865_100141019_+	27	311	0.00225265813660114	0.999999999999997	-0.00225265813660119	0.0287055837105033	2	1
chr1_100133136_100133176_+	41	41	0.773	0.0188537	0.0188537	ENSG00000122435.10	chr1_100140967_100141019_+	122	216	-0.0344104308390023	0.414861006712543	-0.0344104308390023	-0.425600788110307	2	1
chr1_100352454_100352516_+	63	63	55.567	0.882016	0.882016	ENSG00000079335.20	chr1_100390732_100390824_+	9	86	0.04	0.999999999999997	0.04	0.551015168797818	2	1
