PolyA	size	covered	sum	mean	phastcons	Gene	Exon	Inclusion	Exclusion	dPI	pval	dPSI	logOddsRatio	nrow	FDR
chr1_10180442_10180484_+	43	43	35.577	0.827372	0.827372	ENSG00000130939.20	chr1_10171138_10171329_+	7	1	0.242424242424242	0.282629725509474	-0.242424242424242	-2.32192809488736	2	1
chr1_10180442_10180484_+	43	43	35.577	0.827372	0.827372	ENSG00000130939.20	chr1_10178644_10178822_+	20	2	0.023972602739726	0.999999999999999	0.023972602739726	-0.178970141045319	2	1
chr1_103579418_103579429_+	12	12	2.147	0.178917	0.178917	ENSG00000240038.6	chr1_103577490_103577608_+	61	3	0.01638434953279	0.767659272094403	-0.0163843495327901	-0.486287110464003	2	1
chr1_103579418_103579429_+	12	12	2.147	0.178917	0.178917	ENSG00000240038.6	chr1_103577720_103577845_+	66	0	0.0501519756838906	0.106019737605024	0.0501519756838906	-2.86520619658717	2	1
chr1_108699595_108699597_+	3	3	2.987	0.995667	0.995667	ENSG00000134186.12	chr1_108698604_108698827_+	4	9	0.00129041435509764	0.103924962412201	-0.0440874636753439	NA	13	1
chr1_109274294_109274309_+	16	16	15.518	0.969875	0.969875	ENSG00000143126.8	chr1_109272833_109273027_+	7	0	0.0909090909090909	0.567163167869056	0.0909090909090909	-1.37851162325373	2	1
chr1_109274339_109274358_+	20	20	19.81	0.9905	0.9905	ENSG00000143126.8	chr1_109273436_109273670_+	92	33	-0.00408163265306116	0.999999999999999	0.00408163265306122	-0.105794664022597	2	1
chr1_109492721_109492746_+	26	26	25.986	0.999462	0.999462	ENSG00000162650.16	chr1_109492027_109492104_+	53	218	0.0438051400076717	0.399116655594423	-0.0438051400076717	1.20766364322986	2	1
chr1_110021744_110021770_+	27	27	26.825	0.993519	0.993519	ENSG00000168710.18	chr1_110020731_110020851_+	94	1	0.0539663367879685	0.00682334367678435	-0.0539663367879685	-3.38073547465388	2	0.416946815561464
chr1_112456272_112456272_+	1	1	0.926	0.926	0.926	ENSG00000143079.15	chr1_112412194_112412317_+	20	8	0.00865800865800867	0.329296901508042	-0.0714285714285714	NA	3	1
chr1_150338482_150338482_+	1	1	0.039	0.039	0.039	ENSG00000117360.13	chr1_150327557_150327652_+	3	8	0.0483056957462148	0.112012458791172	0.261715933669791	NA	4	1
chr1_154988985_154989029_+	45	45	12.611	0.280244	0.280244	ENSG00000160688.19	chr1_154983842_154984066_+	3	6	-0.416666666666667	0.143227190622454	0.416666666666667	2.58496250072116	2	1
