Exon1	Exon2	gene	cellType	in_in	in_out	out_in	out_out	pval	logOddsRatio	FDR	phastcons_1	phastcons_2	phastcons_mean	LOR_abs	phastcons_min	phastcons_max
chr6_56602878_56603031_-	chr6_56603205_56603420_-	ENSG00000151914.20	pseudoBulk	456	0	0	2744	0	22.2549547803376	0	0.907338	0.707454	0.807396	22.2549547803376	0.707454	0.907338
chr21_37088196_37088346_+	chr21_37088799_37088886_+	ENSG00000182670.13	pseudoBulk	513	0	0	263	8.30284158146727e-170	19.0417340048994	2.98640660310169e-167	0.901126	0.998443	0.949785	19.0417340048994	0.901126	0.998443
chr7_152220523_152220735_-	chr7_152222001_152222066_-	ENSG00000055609.18	pseudoBulk	1318	0	1	139	5.21267619090233e-314	18.4830757277316	3.28111144555678e-311	0.997944	0.997803	0.997874	18.4830757277316	0.997803	0.997944
chr1_1313035_1313124_-	chr1_1313509_1313592_-	ENSG00000127054.21	pseudoBulk	456	0	0	73	3.09162902696839e-115	17.0227145730448	4.86505348419023e-113	0.840244	0.466333	0.653288	17.0227145730448	0.466333	0.840244
chr1_39340502_39340717_+	chr1_39340804_39340953_+	ENSG00000127603.29	pseudoBulk	250	0	0	114	3.86960015294251e-80	16.7986742988268	3.56445978617103e-78	0.931116	0.53128	0.731198	16.7986742988268	0.53128	0.931116
chr17_30734897_30734943_+	chr17_30735033_30735097_+	ENSG00000264538.6	pseudoBulk	122	0	0	230	1.41311574975932e-77	16.7762273885073	1.25574162783027e-75	0.845979	0.987892	0.916936	16.7762273885073	0.845979	0.987892
chr15_62023780_62023845_-	chr15_62028358_62028420_-	ENSG00000129003.19	pseudoBulk	1349	4	6	1782	0	16.611993753749	0	0.996712	0.997921	0.997316	16.611993753749	0.996712	0.997921
chr12_28257202_28257245_+	chr12_28259364_28259442_+	ENSG00000123106.10	pseudoBulk	445	0	0	48	9.17628067592046e-107	16.3826240265749	1.283554782856e-104	0.995432	0.817291	0.906362	16.3826240265749	0.817291	0.995432
chr12_27633362_27633460_+	chr12_27634910_27635115_+	ENSG00000110841.14	pseudoBulk	1765	0	10	234	0	16.3338890928546	0	0.630434	0.939752	0.785093	16.3338890928546	0.630434	0.939752
chr1_161102048_161102171_-	chr1_161102287_161102375_-	ENSG00000143256.5	pseudoBulk	680	0	2	83	8.31225510471476e-162	15.7844303674846	2.51142570429234e-159	0.992911	0.989472	0.991192	15.7844303674846	0.989472	0.992911
chr10_20888097_20888207_-	chr10_20889845_20889949_-	ENSG00000078114.18	pseudoBulk	129	0	0	100	7.51786528566611e-51	15.655083445198	4.89528555303091e-49	0.846117	0.951371	0.898744	15.655083445198	0.846117	0.951371
chr2_95958757_95958785_-	chr2_95960473_95960545_-	ENSG00000174501.14	pseudoBulk	271	0	0	46	3.62413095092354e-69	15.6057109974109	2.79331096541218e-67	0.0186207	0.00660274	0.0126117	15.6057109974109	0.00660274	0.0186207
chr3_142425222_142425332_-	chr3_142425429_142425538_-	ENSG00000114127.10	pseudoBulk	325	0	0	21	1.86191043924636e-73	14.7366133306946	1.54546393515e-71	0.996892	0.996418	0.996655	14.7366133306946	0.996418	0.996892
chrX_123696021_123696154_-	chrX_123696721_123696842_-	ENSG00000125676.20	pseudoBulk	429	0	1	29	9.45186624374073e-95	14.6028148326271	1.0983624844848e-92	0.993097	0.995336	0.994217	14.6028148326271	0.993097	0.995336
chr15_85075862_85075918_+	chr15_85076733_85076787_+	ENSG00000073417.15	pseudoBulk	236	1	0	52	6.36502488422275e-62	14.5830827675029	4.71347724030828e-60	0.996912	0.920436	0.958674	14.5830827675029	0.920436	0.996912
chr1_150156066_150156206_+	chr1_150156911_150157015_+	ENSG00000023902.14	pseudoBulk	247	0	0	17	8.39482422075801e-56	14.035830072835	5.87123321547075e-54	0.674993	0.993476	0.834234	14.035830072835	0.674993	0.993476
chr18_76849526_76849668_+	chr18_76851775_76851939_+	ENSG00000130856.16	pseudoBulk	166	0	0	23	5.46836150097909e-41	13.8986013874039	2.993088862646e-39	0.995804	0.996545	0.996174	13.8986013874039	0.995804	0.996545
chr1_77734347_77734416_-	chr1_77736056_77736158_-	ENSG00000077254.14	pseudoBulk	343	0	1	22	2.9669191037559e-74	13.8814963848101	2.51800842326798e-72	0.999086	0.848893	0.92399	13.8814963848101	0.848893	0.999086
chr8_67113805_67113862_+	chr8_67115914_67116122_+	ENSG00000104218.14	pseudoBulk	115	0	0	31	2.55439262044948e-32	13.7996863613313	1.04860351245847e-30	0.959776	0.809053	0.884414	13.7996863613313	0.809053	0.959776
chr3_113875484_113875587_+	chr3_113876165_113876260_+	ENSG00000178075.20	pseudoBulk	565	8	0	99	9.48087900511046e-134	13.7714636773822	1.83622323017407e-131	0.998904	0.95399	0.976447	13.7714636773822	0.95399	0.998904
chr7_95273899_95273986_+	chr7_95274085_95274168_+	ENSG00000158528.12	pseudoBulk	145	0	0	22	2.56687080335781e-36	13.6393407086522	1.19682451346874e-34	0.933477	0.956964	0.945221	13.6393407086522	0.933477	0.956964
chr3_108049619_108049651_-	chr3_108050578_108050602_-	ENSG00000196776.16	pseudoBulk	27	0	1	199	2.64732863081869e-47	13.3915121227071	1.62571429818262e-45	0.989727	0.99716	0.993444	13.3915121227071	0.989727	0.99716
chr8_47727200_47727293_+	chr8_47728933_47729047_+	ENSG00000164808.17	pseudoBulk	180	0	0	14	6.71109568943557e-41	13.2992080183873	3.62081950215336e-39	0.427798	0.548887	0.488343	13.2992080183873	0.427798	0.548887
chr13_98826830_98826887_-	chr13_98829307_98829522_-	ENSG00000088387.19	pseudoBulk	229	1	0	22	1.5162025106687e-51	13.2986354067342	1.00460154183368e-49	0.968983	0.862	0.915492	13.2986354067342	0.862	0.968983
chr4_153292982_153293133_+	chr4_153294305_153294485_+	ENSG00000109654.15	pseudoBulk	154	0	0	16	2.4389333874393e-36	13.2667865406949	1.14423583068943e-34	0.965342	0.988785	0.977064	13.2667865406949	0.965342	0.988785
chr2_61203140_61203263_-	chr2_61204256_61204380_-	ENSG00000115464.15	pseudoBulk	47	0	0	46	3.86409628133542e-21	13.0781508077346	1.04239276424579e-19	0.999282	0.999712	0.999497	13.0781508077346	0.999282	0.999712
chr20_36218876_36218962_+	chr20_36219761_36219844_+	ENSG00000088367.23	pseudoBulk	224	2	0	38	2.464904221656e-54	13.0552824355012	1.69257859271994e-52	0.999598	0.998821	0.999209	13.0552824355012	0.998821	0.999598
chr1_16579193_16579402_-	chr1_16580745_16580956_-	ENSG00000219481.10	pseudoBulk	101	0	0	21	7.54538381057919e-27	13.0505289055306	2.65084513306359e-25	0.00458571	0.00454245	0.00456408	13.0505289055306	0.00454245	0.00458571
chr7_123502944_123503116_-	chr7_123503202_123503363_-	ENSG00000164675.11	pseudoBulk	17	0	0	119	1.84764901852756e-29	12.9822806045583	6.94328350425784e-28	0.727283	0.461698	0.594491	12.9822806045583	0.461698	0.727283
chr3_179614971_179615059_+	chr3_179615983_179616049_+	ENSG00000136521.13	pseudoBulk	92	0	0	18	3.68031928821106e-24	12.6934869574993	1.16313219527491e-22	0.509315	0.833075	0.671195	12.6934869574993	0.509315	0.833075
chr14_93496411_93496466_+	chr14_93497157_93497286_+	ENSG00000133958.13	pseudoBulk	184	0	1	18	5.54506620927248e-41	12.6934869574993	3.01323786396856e-39	0.954161	0.998277	0.976219	12.6934869574993	0.954161	0.998277
chr2_37089640_37089866_+	chr2_37090681_37090722_+	ENSG00000152133.15	pseudoBulk	107	0	0	15	2.26627147439335e-26	12.6483575820097	7.85230063950677e-25	0.993203	0.926214	0.959708	12.6483575820097	0.926214	0.993203
chr18_677345_677444_-	chr18_677743_677872_-	ENSG00000132199.20	pseudoBulk	186	1	5	163	3.18679522687266e-73	12.5659588704517	2.58828854163729e-71	0.97909	0.994923	0.987007	12.5659588704517	0.97909	0.994923
chr6_29942757_29943026_+	chr6_29943268_29943543_+	ENSG00000206503.13	pseudoBulk	314	0	17	161	6.46139431569469e-93	12.5380747857559	7.17726221067317e-91	0.157722	0.00717029	0.0824461	12.5380747857559	0.00717029	0.157722
chr3_141913652_141913836_+	chr3_141915970_141916020_+	ENSG00000069849.11	pseudoBulk	293	1	1	20	2.25608865959217e-60	12.5166849493096	1.63856737486145e-58	0.606665	0.522529	0.564597	12.5166849493096	0.522529	0.606665
chr15_44566217_44566305_-	chr15_44567424_44567592_-	ENSG00000104133.15	pseudoBulk	155	1	0	18	2.65283908010254e-35	12.4460494067166	1.18567505319972e-33	0.942056	0.989781	0.965919	12.4460494067166	0.942056	0.989781
chr15_25409088_25409207_-	chr15_25411908_25411971_-	ENSG00000114062.21	pseudoBulk	34	0	2	158	7.86692625803617e-40	12.3912435894274	4.09806230831515e-38	0.998575	0.998266	0.99842	12.3912435894274	0.998266	0.998575
chr9_128224251_128224389_+	chr9_128226035_128226173_+	ENSG00000106976.21	pseudoBulk	0	13	100	0	2.75102441456164e-24	-12.3442959079158	8.76773830819943e-23	0.999511	0.997763	0.998637	12.3443	0.997763	0.999511
chr8_103652205_103652237_+	chr8_103652624_103652710_+	ENSG00000176406.23	pseudoBulk	11	0	0	110	1.46525228634884e-25	12.240791332162	4.87559957794062e-24	0.996879	0.999149	0.998014	12.240791332162	0.996879	0.999149
chr7_107901738_107901817_+	chr7_107902325_107902393_+	ENSG00000091140.14	pseudoBulk	90	0	0	13	2.95162435669711e-22	12.1922928144708	8.44498026198479e-21	0.99475	0.992855	0.993803	12.1922928144708	0.992855	0.99475
chr5_118939196_118939290_-	chr5_118944559_118944649_-	ENSG00000169570.10	pseudoBulk	104	0	0	11	2.31829339444188e-24	12.1598713367784	7.4833148961165e-23	0.994042	0.884901	0.939472	12.1598713367784	0.884901	0.994042
chr13_48522308_48522403_-	chr13_48524659_48524757_-	ENSG00000136161.12	pseudoBulk	26	0	0	44	5.0358350451335e-16	12.1598713367784	1.16322900682607e-14	0.986563	0.946444	0.966503	12.1598713367784	0.946444	0.986563
