#exonID__	ExcitatoryNeurons	InhibitoryNeurons	Astrocytes	Oligodendrocytes	OPCs	VLMCs
chr12_124813714_124813850	NA	NA	NA	NA	NA	NA
chr11_17311193_17311283	0.897727	0.9375	0.96875	1	NA	NA
chr7_56432488_56432701	NA	NA	NA	NA	0.857143	NA
chr2_178714292_178714573	NA	NA	NA	NA	NA	NA
chr13_98826830_98826887	1	0.836364	1	0.921053	1	NA
chr7_124848540_124848659	NA	NA	NA	NA	NA	NA
chr20_34975400_34975499	NA	NA	NA	0.9	NA	NA
chr16_3313049_3313175	NA	0.454545	0.578947	NA	NA	NA
chr7_76260874_76260903	0.717213	0.75	NA	NA	NA	NA
chr4_78847188_78847269	NA	NA	0.969697	NA	NA	NA
chr9_127491215_127491295	0.272727	0.181818	0.941176	NA	NA	NA
chr1_213071006_213071041	0.973978	0.934066	0.901786	0.955056	0.901961	NA
chr12_31709293_31709425	NA	NA	NA	NA	NA	NA
chr7_16258920_16259012	0.943662	0.977778	1	NA	NA	NA
chr10_20859713_20859826	0.959596	0.91358	0.673575	NA	0.444444	NA
chr6_3083085_3083313	NA	NA	NA	NA	NA	NA
chr15_88128711_88128734	0.785714	0.5	0.627907	NA	NA	NA
chr2_157556093_157556332	0.866667	NA	NA	NA	NA	NA
chr6_157036835_157036876	NA	NA	NA	NA	NA	NA
chr18_9388364_9388420	NA	NA	NA	NA	NA	NA
chr3_142425429_142425538	0.93913	0.959459	0.938272	0.980769	0.785714	NA
chr21_44335758_44335804	NA	NA	NA	0.866667	NA	NA
chr5_141638955_141639021	0.97561	1	0.529412	NA	NA	NA
chr9_77293341_77293508	NA	NA	NA	NA	NA	NA
chr2_66439843_66439984	NA	NA	0.97561	0.910112	NA	NA
chr7_135412738_135412884	0.0909091	NA	0	NA	NA	NA
chr6_165576412_165576539	0.25	0.126984	NA	NA	NA	NA
chr6_168042561_168042716	NA	NA	NA	NA	NA	NA
chr3_33358967_33359021	1	NA	NA	NA	NA	NA
chr4_150906297_150906405	NA	NA	NA	NA	NA	NA
chr8_123128281_123128513	0.933333	0.952381	NA	NA	NA	NA
chr1_41151614_41151684	NA	NA	NA	NA	NA	NA
chr7_115974170_115974256	NA	NA	NA	NA	NA	NA
chr17_29968791_29969367	0.967742	0.888889	NA	NA	NA	NA
chr14_77562396_77562489	NA	NA	0.769231	0.956522	NA	NA
chr3_138324873_138324930	NA	NA	NA	NA	NA	NA
chr8_432886_432935	NA	NA	NA	NA	NA	NA
chr2_190294546_190294630	0.86	0.737374	1	1	1	NA
chr12_56781974_56782232	NA	NA	0.916667	NA	NA	NA
chr17_41817058_41817203	NA	NA	0.890034	NA	0.937008	NA
chr18_46119926_46120060	NA	NA	NA	NA	NA	NA
