Exon1	Exon2	gene	cellType	in_in	in_out	out_in	out_out	pval	logOddsRatio	FDR	phastcons_1	phastcons_2	phastcons_mean	LOR_abs	phastcons_min	phastcons_max
chr7_73011722_73011834_+	chr7_73039669_73039781_+	ENSG00000229018.5	pseudoBulk	7	0	0	29	4.55192469428443e-08	9.66533591718518	4.90935369717692e-06	0.0862743	0.0586726	0.0724734	9.66533591718518	0.0586726	0.0862743
chr7_95273899_95273986_+	chr7_95287110_95287133_+	ENSG00000158528.12	pseudoBulk	5	55	22	0	4.00410445391173e-14	-8.91886323727459	2.15925859113804e-11	0.933477	0.9875	0.960489	8.91886	0.933477	0.9875
chr1_26447559_26447660_+	chr1_26460037_26460144_+	ENSG00000117682.17	pseudoBulk	30	0	2	16	1.87446845040654e-09	8.90689059560852	2.52707075448759e-07	0.988206	0.908231	0.948219	8.90689059560852	0.908231	0.988206
chr8_140762368_140762388_-	chr8_140769575_140769592_-	ENSG00000169398.19	pseudoBulk	60	18	2	106	4.58506220961309e-26	7.46488604872941	7.41763988499663e-23	0.999476	1	0.999738	7.46488604872941	0.999476	1
chr6_152498742_152498792_-	chr6_152511571_152511591_-	ENSG00000131018.24	pseudoBulk	2	26	12	1	5.81091748580672e-07	-7.28540221886225	5.22267157281767e-05	0.965961	0.999286	0.982623	7.2854	0.965961	0.999286
chr2_233488777_233488903_-	chr2_233491032_233491071_-	ENSG00000085982.13	pseudoBulk	24	0	84	247	9.85289748900667e-14	7.14101230952707	3.77590201863859e-11	0.167961	0.999225	0.583593	7.14101230952707	0.167961	0.999225
chr16_8804767_8804843_+	chr16_8811079_8811178_+	ENSG00000140650.12	pseudoBulk	39	2	1	7	5.1290114692727e-07	7.09275714091985	5.18602015438805e-05	0.835	0.87437	0.854685	7.09275714091985	0.835	0.87437
chr12_22502739_22502804_-	chr12_22519115_22519239_-	ENSG00000111731.12	pseudoBulk	16	0	7	24	2.32069380336455e-06	6.77760757866355	0.000187719055159276	0.999	0.999608	0.999304	6.77760757866355	0.999	0.999608
chr3_62512751_62512768_-	chr3_62530654_62530812_-	ENSG00000163618.18	pseudoBulk	0	7	29	4	2.01130231110547e-05	-6.66533591718518	0.00135577188501775	0.972889	0.96073	0.966809	6.66534	0.96073	0.972889
chr12_130799168_130799190_-	chr12_130810782_130810937_-	ENSG00000111450.14	pseudoBulk	17	28	1	93	8.29755726265158e-09	5.81926673030077	9.58832475761415e-07	0.00743478	0.0536987	0.0305667	5.81926673030077	0.00743478	0.0536987
chr3_244613_244692_+	chr3_342984_343031_+	ENSG00000134121.10	pseudoBulk	41	45	0	30	7.41173923109218e-06	5.77258950389693	0.000545026931769838	0.557875	0.998146	0.77801	5.77258950389693	0.557875	0.998146
chr7_94587774_94587812_-	chr7_94599697_94599723_-	ENSG00000127990.19	pseudoBulk	1	89	53	92	9.45999949128083e-10	-5.68009192947258	1.39129409077099e-07	0.999692	0.999926	0.999809	5.68009	0.999692	0.999926
chr7_44232822_44232866_-	chr7_44239589_44239663_-	ENSG00000058404.20	pseudoBulk	173	20	2	10	7.1056111999643e-11	5.43462822763672	1.64219192781626e-08	0.995333	0.998293	0.996813	5.43462822763672	0.995333	0.998293
